idx	gene_id	task_id	system	subsystem	reactions
0	AOC1	116	AMINO ACIDS METABOLISM	PHENYLALANINE METABOLISM	13DAMPPOX|MAOX|MHISOR|PEAMNO|PTRCOX1|r0281|RE0689E
1	AOC1	117	AMINO ACIDS METABOLISM	PHENYLALANINE METABOLISM	13DAMPPOX|MAOX|MHISOR|PEAMNO|PTRCOX1|r0281|RE0689E
2	AOC2	116	AMINO ACIDS METABOLISM	PHENYLALANINE METABOLISM	13DAMPPOX|MAOX|MHISOR|PEAMNO|PTRCOX1
3	AOC2	117	AMINO ACIDS METABOLISM	PHENYLALANINE METABOLISM	13DAMPPOX|MAOX|MHISOR|PEAMNO|PTRCOX1
4	SDS	122	AMINO ACIDS METABOLISM	THREONINE METABOLISM	2AMACHYD|SERHL|THRD_L
5	OGDH	4	ENERGY METABOLISM	KREBS CYCLE	2OXOADOXm|AKGDm|r0163|r0384|r0451|r0620
6	OGDH	30	CARBOHYDRATES METABOLISM	GLUCONEOGENESIS	2OXOADOXm|AKGDm|r0163|r0384|r0451|r0620
7	OGDH	70	AMINO ACIDS METABOLISM	ASPARAGINE METABOLISM	2OXOADOXm|AKGDm|r0163|r0384|r0451|r0620
8	OGDH	77	AMINO ACIDS METABOLISM	BETA-ALANINE METABOLISM	2OXOADOXm|AKGDm|r0163|r0384|r0451|r0620
9	OGDH	92	AMINO ACIDS METABOLISM	GLUTAMINE METABOLISM	2OXOADOXm|AKGDm|r0163|r0384|r0451|r0620
10	OGDH	105	AMINO ACIDS METABOLISM	LYSINE METABOLISM	2OXOADOXm|AKGDm|r0163|r0384|r0451|r0620
11	OGDH	108	AMINO ACIDS METABOLISM	METHIONINE METABOLISM	2OXOADOXm|AKGDm|r0163|r0384|r0451|r0620
12	DLD	3	ENERGY METABOLISM	KREBS CYCLE	2OXOADOXm|AKGDm|GCC2am|GCC2bim|GCC2cm|GCCam|GCCbim|GCCcm|OIVD1m|OIVD2m|OIVD3m|PDHm|r0295|r1154
13	DLD	4	ENERGY METABOLISM	KREBS CYCLE	2OXOADOXm|AKGDm|GCC2am|GCC2bim|GCC2cm|GCCam|GCCbim|GCCcm|OIVD1m|OIVD2m|OIVD3m|PDHm|r0295|r1154
14	DLD	5	ENERGY METABOLISM	ATP GENERATION	2OXOADOXm|AKGDm|GCC2am|GCC2bim|GCC2cm|GCCam|GCCbim|GCCcm|OIVD1m|OIVD2m|OIVD3m|PDHm|r0295|r1154
15	DLD	30	CARBOHYDRATES METABOLISM	GLUCONEOGENESIS	2OXOADOXm|AKGDm|GCC2am|GCC2bim|GCC2cm|GCCam|GCCbim|GCCcm|OIVD1m|OIVD2m|OIVD3m|PDHm|r0295|r1154
16	DLD	52	CARBOHYDRATES METABOLISM	KETOGENESIS	2OXOADOXm|AKGDm|GCC2am|GCC2bim|GCC2cm|GCCam|GCCbim|GCCcm|OIVD1m|OIVD2m|OIVD3m|PDHm|r0295|r1154
17	DLD	53	CARBOHYDRATES METABOLISM	KETOGENESIS	2OXOADOXm|AKGDm|GCC2am|GCC2bim|GCC2cm|GCCam|GCCbim|GCCcm|OIVD1m|OIVD2m|OIVD3m|PDHm|r0295|r1154
18	DLD	61	AMINO ACIDS METABOLISM	ALANINE METABOLISM	2OXOADOXm|AKGDm|GCC2am|GCC2bim|GCC2cm|GCCam|GCCbim|GCCcm|OIVD1m|OIVD2m|OIVD3m|PDHm|r0295|r1154
19	DLD	70	AMINO ACIDS METABOLISM	ASPARAGINE METABOLISM	2OXOADOXm|AKGDm|GCC2am|GCC2bim|GCC2cm|GCCam|GCCbim|GCCcm|OIVD1m|OIVD2m|OIVD3m|PDHm|r0295|r1154
20	DLD	77	AMINO ACIDS METABOLISM	BETA-ALANINE METABOLISM	2OXOADOXm|AKGDm|GCC2am|GCC2bim|GCC2cm|GCCam|GCCbim|GCCcm|OIVD1m|OIVD2m|OIVD3m|PDHm|r0295|r1154
21	DLD	92	AMINO ACIDS METABOLISM	GLUTAMINE METABOLISM	2OXOADOXm|AKGDm|GCC2am|GCC2bim|GCC2cm|GCCam|GCCbim|GCCcm|OIVD1m|OIVD2m|OIVD3m|PDHm|r0295|r1154
22	DLD	102	AMINO ACIDS METABOLISM	ISOLEUCINE METABOLISM	2OXOADOXm|AKGDm|GCC2am|GCC2bim|GCC2cm|GCCam|GCCbim|GCCcm|OIVD1m|OIVD2m|OIVD3m|PDHm|r0295|r1154
